regionID,siteID,dateTimeUTC,variable,value,flagID,flagComment
AZ,LV,10/12/2017 18:00,Battery_V,8.590000153,,
AZ,LV,10/12/2017 18:00,CDOM_ppb,0.159999996,,
AZ,LV,10/12/2017 18:00,DO_mgL,8.890000343,,
AZ,LV,10/12/2017 18:00,DOsat_pct,97.19999695,,
AZ,LV,10/12/2017 18:00,Depth_m,0,,
AZ,LV,10/12/2017 18:00,SpecCond_uScm,0.300000012,,
AZ,LV,10/12/2017 18:00,Turbidity_NTU,3.529999971,,
AZ,LV,10/12/2017 18:00,WaterTemp_C,17.21999931,,
AZ,LV,10/12/2017 18:00,pH,7.960000038,,
AZ,LV,10/12/2017 18:00,pH_mV,-50.59999847,,
AZ,LV,10/12/2017 18:15,Battery_V,8.579999924,,
AZ,LV,10/12/2017 18:15,CDOM_ppb,24.63999939,,
AZ,LV,10/12/2017 18:15,DO_mgL,8.18999958,,
AZ,LV,10/12/2017 18:15,DOsat_pct,90.59999847,,
AZ,LV,10/12/2017 18:15,Depth_m,0.310000002,,
AZ,LV,10/12/2017 18:15,SpecCond_uScm,361.8999939,,
AZ,LV,10/12/2017 18:15,Turbidity_NTU,16.52000046,,
AZ,LV,10/12/2017 18:15,WaterTemp_C,17.75,,
AZ,LV,10/12/2017 18:15,pH,8.149999619,,
AZ,LV,10/12/2017 18:15,pH_mV,-61.29999924,,
